Title;Type;Issn
Journal of Research in Medical Sciences;journal;ISSN 17351995
The Journal of Adult Protection;journal;ISSN 14668203
Africana Linguistica;journal;ISSN 00654124
Statistical Journal of the IAOS;journal;ISSN 18747655
Journal of Advanced Research;journal;ISSN 20901232
International Journal of Systems Assurance Engineering and Management;journal;ISSN 09756809, 09764348
Frontiers in Heat and Mass Transfer;journal;ISSN 21518629
Journal of Ayurveda and Integrative Medicine;journal;ISSN 09759476, 09762809
Buletinul Academiei de Stiinte a Republicii Moldova. Matematica;journal;ISSN 10247696
Jornal brasileiro de nefrologia : orgão oficial de Sociedades Brasileira e Latino-Americana de Nefrologia;journal;ISSN 21758239
Journal of Indian Society of Periodontology;journal;ISSN 0972124X
Journal of Mental Health Training, Education and Practice;journal;ISSN 17556228, 20428707
IEEE Workshop on Computational Intelligence in Biometrics and Identity Management, CIBIM;conference and proceeding;ISSN 23254300
ASE 2014 - Proceedings of the 29th ACM/IEEE International Conference on Automated Software Engineering;conference and proceeding;-
Data Compression Conference Proceedings;conference and proceeding;ISSN 10680314
Animal Biotechnology;journal;ISSN 15322378, 10495398
Instruments and Experimental Techniques;journal;ISSN 16083180, 00204412
Science and Technology Libraries;journal;ISSN 0194262X, 15411109
International Journal of Fluid Power;journal;ISSN 14399776
Journal of Communications Technology and Electronics;journal;ISSN 10642269
Revista Portuguesa de Cardiologia;journal;ISSN 08702551
Journal of the Chinese Chemical Society;journal;ISSN 00094536
Indian Heart Journal;journal;ISSN 00194832
Turkish Journal of Mathematics;journal;ISSN 13000098
Journal of Macromolecular Science - Physics;journal;ISSN 00222348, 1525609X
Phase Transitions;journal;ISSN 01411594, 10290338
Proceedings - Working Conference on Reverse Engineering, WCRE;conference and proceeding;ISSN 10951350
Support for Learning;journal;ISSN 02682141
Games;journal;ISSN 20734336
Asian Review of Accounting;journal;ISSN 13217348
International Geophysics;book serie;ISSN 00746142
Journal of China Tourism Research;journal;ISSN 19388179, 19388160
Sultan Qaboos University Medical Journal;journal;ISSN 20750528, 2075051X
Acta Limnologica Brasiliensia;journal;ISSN 01026712
Advances in Mental Health and Intellectual Disabilities;journal;ISSN 20441282, 20441290
Proceedings of the 2012 Joint Working Conference on Software Architecture and 6th European Conference on Software Architecture, WICSA/ECSA 2012;conference and proceeding;-
Bradleya;journal;ISSN 0265086X
MobileHCI 2013 - Proceedings of the 15th International Conference on Human-Computer Interaction with Mobile Devices and Services;conference and proceeding;-
SIGCSE 2014 - Proceedings of the 45th ACM Technical Symposium on Computer Science Education;conference and proceeding;-
2014 IEEE 1st International Workshop on Artificial Intelligence for Requirements Engineering, AIRE 2014 - Proceedings;conference and proceeding;-
Sensing and Bio-Sensing Research;journal;ISSN 22141804
Contemporary South Asia;journal;ISSN 1469364X, 09584935
Zeitschrift für Padagogik;journal;ISSN 00443247
Gems and Gemology;journal;ISSN 0016626X
Hangkong Cailiao Xuebao/Journal of Aeronautical Materials;journal;ISSN 10055053
Medicina del Lavoro;journal;ISSN 00257818
Australian Journal of Linguistics;journal;ISSN 07268602
Malaysian Journal of Computer Science;journal;ISSN 01279084
International Journal of Data Mining and Bioinformatics;journal;ISSN 17485681, 17485673
Studies in Economics and Finance;journal;ISSN 10867376
International Journal of Enterprise Information Systems;journal;ISSN 15481115, 15481123
Pharmeuropa bio & scientific notes;journal;ISSN 20752504, 20752164
International Journal of Tourism Policy;journal;ISSN 17504090, 17504104
Journal of Experimental Stroke and Translational Medicine;journal;ISSN 1939067X
Case Reports in Oncology;journal;ISSN 16626575
Indian Journal of Horticulture;journal;ISSN 00195251, 09728538
Saudi Journal of Anaesthesia;journal;ISSN 09753125, 1658354X
Procedia IUTAM;conference and proceeding;ISSN 22109838
Journal for nurses in professional development;journal;ISSN 21699798, 2169981X
2013 3rd International Workshop on Comparing Requirements Modeling Approaches, CMA@RE 2013 - Proceedings;conference and proceeding;-
Proceedings of the 5th Annual Symposium on Combinatorial Search, SoCS 2012;conference and proceeding;-
Chinese Space Science and Technology;journal;ISSN 1000758X
Artificial Intelligence and Law;journal;ISSN 15728382, 09248463
Theoretical Foundations of Chemical Engineering;journal;ISSN 16083431, 00405795
Ruan Jian Xue Bao/Journal of Software;journal;ISSN 10009825
Business Economics;journal;ISSN 0007666X
Acta Chimica Slovenica;journal;ISSN 13180207
Political Science;journal;ISSN 00323187
Hellenic Journal of Cardiology;journal;ISSN 10117970
Journal of Horticultural Science and Biotechnology;journal;ISSN 14620316
Journal of Crop Improvement;journal;ISSN 15427528, 15427536
Journal of Engineering Physics and Thermophysics;journal;ISSN 10620125
Journal of Logic, Language and Information;journal;ISSN 09258531
Hippokratia;journal;ISSN 11084189
Acta Ortopedica Brasileira;journal;ISSN 14137852
Applied Research in Quality of Life;journal;ISSN 18712576, 18712584
Journal of the Iranian Chemical Society;journal;ISSN 1735207X
Journal of Cold War Studies;journal;ISSN 15203972
HOMO- Journal of Comparative Human Biology;journal;ISSN 0018442X, 16181301
World health & population;journal;ISSN 17183340
Journal of Epithelial Biology and Pharmacology;journal;ISSN 18750443
Education as Change;journal;ISSN 16823206
Photonics Letters of Poland;journal;ISSN 20802242
The Journal of Poverty and Social Justice;journal;ISSN 17598273, 17598281
Journal of Quantitative Analysis in Sports;journal;ISSN 15590410
Proceedings of IEEE International Workshop on Variable Structure Systems;conference and proceeding;ISSN 21654816, 21654824
International Journal of Community Music;journal;ISSN 17526302, 17526299
2012 IEEE Conference on Computational Intelligence and Games, CIG 2012;conference and proceeding;-
Shanghai Archives of Psychiatry;journal;ISSN 10020829
ACL 2013 - 51st Annual Meeting of the Association for Computational Linguistics, Proceedings of the Conference;conference and proceeding;-
The Mechanism of Concussion in Sports;conference and proceeding;-
Control and Intelligent Systems;journal;ISSN 14801752
Journal of Seismic Exploration;journal;ISSN 09630651
Belgian Journal of Zoology;journal;ISSN 07776276
Oceanological and Hydrobiological Studies;journal;ISSN 1730413X
IRRIGA;journal;ISSN 14137895
Phronesis;journal;ISSN 15685284, 00318868
Journal of Intercultural Communication Research;journal;ISSN 17475759
Urology Annals;journal;ISSN 09747796, 09747834
Open Neuroendocrinology Journal;journal;ISSN 18765289
Intersecciones en Antropologia;journal;ISSN 16662105, 1850373X
Revista Espanola de Medicina Nuclear e Imagen Molecular;journal;ISSN 2253654X
Open Agriculture Journal;journal;ISSN 18743315
Journal of Ship Production and Design;journal;ISSN 21582866, 21582874
Forestry Journal;journal;ISSN 13384295, 03231046
International Journal of Entrepreneurship and Innovation;journal;ISSN 14657503, 20436882
Quaestiones Geographicae;journal;ISSN 0137477X
Ultrasound Quarterly;journal;ISSN 08948771
Psychiatria Polska;journal;ISSN 00332674
Fluoride - Quarterly Reports;journal;ISSN 00154725
Eastern Economic Journal;journal;ISSN 00945056, 19394632
Acta Chirurgica Belgica;journal;ISSN 00015458
Hand surgery : an international journal devoted to hand and upper limb surgery and related research : journal of the Asia-Pacific Federation of Societies for Surgery of the Hand;journal;ISSN 02188104, 17936535
Journal of Child and Adolescent Substance Abuse;journal;ISSN 1067828X
Acta Clinica Croatica;journal;ISSN 03539466, 13339451
ATLA Alternatives to Laboratory Animals;journal;ISSN 02611929
American Journal of Nursing;journal;ISSN 0002936X
Journal of Psychosocial Nursing and Mental Health Services;journal;ISSN 02793695
Policy brief (UCLA Center for Health Policy Research);journal;-
Drug Discovery Today: Disease Models;journal;ISSN 17406757
Bioinorganic Chemistry and Applications;journal;ISSN 15653633, 1687479X
Journal of American History;journal;ISSN 00218723
NETNOMICS: Economic Research and Electronic Networking;journal;ISSN 13859587
International Journal of Cultural Policy;journal;ISSN 14772833, 10286632
Intercultural Pragmatics;journal;ISSN 1612295X, 1613365X
Micro and Nano Letters;journal;ISSN 17500443
Neuroradiology Journal;journal;ISSN 19714009, 01509861
Psihologija;journal;ISSN 00485705
Revista Brasileira de Paleontologia;journal;ISSN 15197530
North American Fungi;journal;ISSN 1937786X
Journal of Integrated Care;journal;ISSN 20428685, 14769018
IHI'12 - Proceedings of the 2nd ACM SIGHIT International Health Informatics Symposium;conference and proceeding;-
Journal of the American Association of Nurse Practitioners;journal;ISSN 23276924, 23276886
Interface: Comunicacao, Saude, Educacao;journal;ISSN 14143283
JNMM, Journal of the Institute of Nuclear Materials Management;journal;ISSN 08936188
Mathematical Problems in Engineering;journal;ISSN 1024123X, 15635147
International Journal of RF and Microwave Computer-Aided Engineering;journal;ISSN 10964290, 1099047X
Indian Journal of Pathology and Microbiology;journal;ISSN 03774929, 09745130
Estudios Geologicos;journal;ISSN 03670449
Nematropica;journal;ISSN 00995444
Journal of Drug Education;journal;ISSN 15414159, 00472379
Journal of High Speed Networks;journal;ISSN 09266801
Archives of Electrical Engineering;journal;ISSN 14274221, 00040746
Proceedings - International Conference on Tools with Artificial Intelligence, ICTAI;conference and proceeding;ISSN 10823409
Folia Linguistica;journal;ISSN 01654004
IEEJ Transactions on Power and Energy;journal;ISSN 03854213, 13488147
Brazilian Journal of Oceanography;journal;ISSN 16798759, 1982436X
Earth Science Informatics;journal;ISSN 18650473
SAE International Journal of Materials and Manufacturing;journal;ISSN 19463979
International Journal of Gaming and Computer-Mediated Simulations;journal;ISSN 19423888, 19423896
Lecture Notes in Computational Science and Engineering;book serie;ISSN 14397358
Advances in Transportation Studies;journal;ISSN 18245463
Marine Biodiversity Records;journal;ISSN 17552672
AKCE International Journal of Graphs and Combinatorics;journal;ISSN 09728600
Clinical Ethics;journal;ISSN 14777509, 1758101X
Mathematical and Computational Forestry and Natural-Resource Sciences;journal;ISSN 19467664
International Review of Mission;journal;ISSN 00208582
Life Span and Disability;journal;ISSN 20355963
HT 2013 - Proceedings of the 24th ACM Conference on Hypertext and Social Media;conference and proceeding;-
Research and Reports in Urology;journal;ISSN 22532447
Institution of Mechanical Engineers - 11th International Conference on Turbochargers and Turbocharging;conference and proceeding;-
Critical Studies in Media Communication;journal;ISSN 15295036
Journal of Analytical Psychology;journal;ISSN 00218774
Zeitschrift für Kinder- und Jugendpsychiatrie und Psychotherapie;journal;ISSN 14224917
Great Lakes Entomologist;journal;ISSN 00900222
Feminist Review;journal;ISSN 01417789, 14664380
Applied Artificial Intelligence;journal;ISSN 08839514
Journal of Planar Chromatography - Modern TLC;journal;ISSN 09334173
Xiyou Jinshu Cailiao Yu Gongcheng/Rare Metal Materials and Engineering;journal;ISSN 1002185X
Australian Zoologist;journal;ISSN 00672238
Russian Journal of Inorganic Chemistry;journal;ISSN 00360236
Ship Technology Research;journal;ISSN 09377255
Revista da Associacao Medica Brasileira;journal;ISSN 01044230
Revista da Escola de Enfermagem da U S P;journal;ISSN 00806234
Chuan Bo Li Xue/Journal of Ship Mechanics;journal;ISSN 10077294
Pesquisa Operacional;journal;ISSN 01017438
Journal of Social Work Practice in the Addictions;journal;ISSN 1533256X
Dve domovini / Two Homelands;journal;ISSN 03536777, 15811212
Journal of Global Ethics;journal;ISSN 17449626
Informal Logic;journal;ISSN 08242577
Grazer Philosophische Studien;book serie;ISSN 01659227
Tribology - Materials, Surfaces and Interfaces;journal;ISSN 17515831, 1751584X
Annals of Animal Science;journal;ISSN 16423402
Asian Journal of Poultry Science;journal;ISSN 18193609
European Transport - Trasporti Europei;journal;ISSN 18253997
Journal of Biotech Research;journal;ISSN 19443285
2012 9th Annual Conference on Wireless On-Demand Network Systems and Services, WONS 2012;conference and proceeding;-
SPLASH 2012: AGERE 2012 - Proceedings of the 2012 ACM Workshop on Programming Systems, Languages and Applications Based on Actors, Agents, and Decentralized Control Abstractions;conference and proceeding;-
Linguistic and Philosophical Investigations;journal;ISSN 18412394
Alpine and Mediterranean Quaternary;journal;ISSN 22797327, 22797335
Proceedings International Conference on Automated Planning and Scheduling, ICAPS;conference and proceeding;ISSN 23340843, 23340835
Integration, the VLSI Journal;journal;ISSN 01679260
Tierarztliche Praxis Ausgabe K: Kleintiere - Heimtiere;journal;ISSN 14341239
Yonago Acta Medica;journal;ISSN 13468049, 05135710
Tropical Doctor;journal;ISSN 00494755
Acta Medica Iranica;journal;ISSN 00446025
Theoria;journal;ISSN 00405825
Journal of Community Health Nursing;journal;ISSN 07370016, 15327655
Jiangsu Daxue Xuebao (Ziran Kexue Ban) / Journal of Jiangsu University (Natural Science Edition);journal;ISSN 16717775
Journal of Map and Geography Libraries;journal;ISSN 15420353, 15420361
Current Nanoscience;journal;ISSN 15734137
Sign Language & Linguistics;journal;ISSN 13879316
Quarterly Journal of Austrian Economics;journal;ISSN 19364806, 10983708
Bulletin of Geography;journal;ISSN 17324254
Bangladesh Journal of Pharmacology;journal;ISSN 1991007X, 19910088
Australasian Journal of Natural Resources Law and Policy;journal;ISSN 13205323
Advances in Optical Technologies;journal;ISSN 16876393, 16876407
Journal of Cancer Science and Therapy;journal;ISSN 19485956
Zhongguo Guanxing Jishu Xuebao/Journal of Chinese Inertial Technology;journal;ISSN 10056734
Australian Planner;journal;ISSN 07293682, 21506841
Journal of Nanotechnology;journal;ISSN 16879503, 16879511
Journal of Clinical and Experimental Hepatology;journal;ISSN 09736883
European Research in Telemedicine;journal;ISSN 2212764X
EuroiTV'12 - Proceedings of the 10th European Conference on Interactive TV and Video;conference and proceeding;-
Proceedings of CGAMES'2012 USA - 17th International Conference on Computer Games: AI, Animation, Mobile, Interactive Multimedia, Educational and Serious Games;conference and proceeding;-
American Journal of Cultural Sociology;journal;ISSN 20497121, 20497113
Petroleum Science and Technology;journal;ISSN 10916466, 15322459
Bulletin de la Societe Belge d'Ophtalmologie;journal;ISSN 00810746
Heron;journal;ISSN 00467316
Journal of the Japan Petroleum Institute;journal;ISSN 13468804
Journal of Applied Animal Research;journal;ISSN 09712119
Diqiu Kexue - Zhongguo Dizhi Daxue Xuebao/Earth Science - Journal of China University of Geosciences;journal;ISSN 10002383
Northern Journal of Applied Forestry;journal;ISSN 07426348
Journal of Gender Studies;journal;ISSN 14653869, 09589236
Holistic Nursing Practice;journal;ISSN 08879311, 15505138
Documents d' Analisi Geografica;journal;ISSN 02121573
Indian Journal of Gastroenterology;journal;ISSN 02548860
Bosnian journal of basic medical sciences;journal;ISSN 15128601
Public Organization Review;journal;ISSN 15737098, 15667170
MCB Molecular and Cellular Biomechanics;journal;ISSN 15565300, 15565297
Journal of Marketing for Higher Education;journal;ISSN 15407144, 08841241
Journal of International Consumer Marketing;journal;ISSN 08961530
Iranian Journal of Pediatrics;journal;ISSN 20082142, 10184406
Bulletin of the Iranian Mathematical Society;journal;ISSN 10186301
Revue d'Anthropologie des Connaissances;journal;ISSN 17605393
Nuclear Technology and Radiation Protection;journal;ISSN 14513994
International Journal of Pharmacy and Pharmaceutical Sciences;journal;ISSN 09751491
Lung India;journal;ISSN 0974598X, 09702113
Library Leadership and Management;journal;ISSN 19458851
IEEE International Symposium on Precision Clock Synchronization for Measurement, Control, and Communication, ISPCS;conference and proceeding;ISSN 19490305
Journal of Social, Evolutionary, and Cultural Psychology;journal;ISSN 19335377
Pacific Journalism Review;journal;ISSN 10239499, 23242035
International Journal of Feminist Approaches to Bioethics;journal;ISSN 19374577, 19374585
SIMUTools 2012 - 5th International Conference on Simulation Tools and Techniques;conference and proceeding;-
Progress in Computational Fluid Dynamics;journal;ISSN 14684349, 17415233
Acta Neurologica Taiwanica;journal;ISSN 1028768X
Water Resources;journal;ISSN 00978078, 1608344X
Revista de Chimie;journal;ISSN 00347752
Archiv für Molluskenkunde;book serie;ISSN 00039284, 18690963
Comparative Clinical Pathology;journal;ISSN 16185641, 1618565X
Nationalism and Ethnic Politics;journal;ISSN 13537113
Journal of Advanced Oxidation Technologies;journal;ISSN 12038407
Geology Today;journal;ISSN 02666979, 13652451
Journal of Forensic Odonto-Stomatology;journal;ISSN 0258414X
Quaestiones Mathematicae;journal;ISSN 16073606
Komunikacie;journal;ISSN 13354205
Acta Neuropsychologica;journal;ISSN 17307503
Iheringia - Serie Zoologia;journal;ISSN 00734721
Sustainable Humanosphere;journal;ISSN 18806503
Law and History Review;journal;ISSN 07382480
South African Journal of International Affairs;journal;ISSN 10220461
The Clinical Supervisor;journal;ISSN 07325223, 1545231X
Language and Linguistics;journal;ISSN 1606822X
Corpus Linguistics and Linguistic Theory;journal;ISSN 16137027
Arts and Humanities in Higher Education;journal;ISSN 14740222
Rethinking History;journal;ISSN 13642529
Issues in Environmental Science and Technology;book serie;ISSN 14651874, 13507583
Zbornik Radova Ekonomskog Fakultet au Rijeci;journal;ISSN 18467520, 13318004
Revista Iberoamericana de Tecnologias del Aprendizaje;journal;ISSN 19328540
Qualitative Research in Accounting and Management;journal;ISSN 11766093
2013 IEEE International Workshop on Applied Measurements for Power Systems, AMPS 2013 - Proceedings;conference and proceeding;-
Transportation Geotechnics;journal;ISSN 22143912
Journal of Muslim Minority Affairs;journal;ISSN 13602004
Equine Veterinary Education;journal;ISSN 09577734
Archive for History of Exact Sciences;journal;ISSN 00039519, 14320657
Bulletin of Economic Research;journal;ISSN 14678586, 03073378
Chemistry of Natural Compounds;journal;ISSN 15738388, 00093130
Hangkong Dongli Xuebao/Journal of Aerospace Power;journal;ISSN 10008055
Biomedica : revista del Instituto Nacional de Salud;journal;ISSN 01204157
Journal of Exotic Pet Medicine;journal;ISSN 15575063, 19316283
Journal of Marketing Channels;journal;ISSN 1046669X, 15407039
World Review of Entrepreneurship, Management and Sustainable Development;journal;ISSN 17460581, 17460573
British Journal for the History of Philosophy;journal;ISSN 09608788
Glass Technology: European Journal of Glass Science and Technology Part A;journal;ISSN 17533546, 00171050, 17533554
Przeglad Gastroenterologiczny;journal;ISSN 18955770
Constructivist Foundations;journal;ISSN 1782348X
Russian Mathematics;journal;ISSN 1066369X
EuroSys'12 - Proceedings of the EuroSys 2012 Conference;conference and proceeding;-
Journal of Micro-Bio Robotics;journal;ISSN 21946426, 21946418
GEOCROWD 2012 - Proceedings of the 1st ACM SIGSPATIAL International Workshop on Crowdsourced and Volunteered Geographic Information;conference and proceeding;-
Asian Journal of Shipping and Logistics;journal;ISSN 20925212
Journal of Accounting Literature;journal;ISSN 07374607
11th ACM/IEEE International Conference on Formal Methods and Models for Codesign, MEMOCODE 2013;conference and proceeding;-
Conference on Control and Fault-Tolerant Systems, SysTol;conference and proceeding;ISSN 21621209, 21621195
Conference Record - Asilomar Conference on Signals, Systems and Computers;conference and proceeding;ISSN 10586393
American Journal of Law and Medicine;journal;ISSN 00988588
International Journal of Clothing Science and Technology;journal;ISSN 09556222
Hong Kong Medical Journal;journal;ISSN 10242708
Izvestiya - Atmospheric and Oceanic Physics;journal;ISSN 00014338
Journal of Organizational and End User Computing;journal;ISSN 15462234
European Journal of Psychiatry;journal;ISSN 02136163
Heart Surgery Forum;journal;ISSN 15226662, 10983511
International Journal of the Economics of Business;journal;ISSN 13571516, 14661829
Anesthesia Progress;journal;ISSN 00033006
Zeitschrift für Naturforschung - Section B Journal of Chemical Sciences;journal;ISSN 09320776
History of Political Economy;journal;ISSN 00182702, 15271919
Journal of Social Welfare and Family Law;journal;ISSN 09649069
JAVA - Journal of the Association for Vascular Access;journal;ISSN 15528855
Journal of Hospice and Palliative Nursing;journal;ISSN 15390705, 15222179
IET Nanobiotechnology;journal;ISSN 17518741
Asian Studies Review;journal;ISSN 10357823, 14678403
Cold War History;journal;ISSN 14682745
Media History;journal;ISSN 13688804
Educational Forum;journal;ISSN 19388098, 00131725
Dianji yu Kongzhi Xuebao/Electric Machines and Control;journal;ISSN 1007449X
Journal on Chain and Network Science;journal;ISSN 15691829, 18750931
NeuroQuantology;journal;ISSN 13035150
International Journal of Oil, Gas and Coal Technology;journal;ISSN 17533309, 17533317
Journal of Pension Economics and Finance;journal;ISSN 14747472
Biocybernetics and Biomedical Engineering;journal;ISSN 02085216
Frontiers in Energy;journal;ISSN 20951698, 20951701
International Journal of Information Systems and Supply Chain Management;journal;ISSN 19355726
Journal of Indian Academy of Forensic Medicine;journal;ISSN 09710973
Proceedings of the 6th International Conference on Tangible, Embedded and Embodied Interaction, TEI 2012;conference and proceeding;-
Journal of Fiber Bioengineering and Informatics;journal;ISSN 19408676
DESIDOC Journal of Library and Information Technology;journal;ISSN 09740643, 09764658
Technology and Disability;journal;ISSN 10554181
Journal of Imperial and Commonwealth History;journal;ISSN 03086534
Canadian Public Administration;journal;ISSN 00084840
Journal of Multinational Financial Management;journal;ISSN 1042444X
Herzschrittmachertherapie und Elektrophysiologie;journal;ISSN 09387412
Southern Journal of Applied Forestry;journal;ISSN 01484419
Indian Journal of Chemistry - Section A Inorganic, Physical, Theoretical and Analytical Chemistry;journal;ISSN 03764710
Journal of Economic Methodology;journal;ISSN 1350178X, 14699427
Studia Geological Polonica;book serie;ISSN 00816426
Chinese Physics Letters;journal;ISSN 0256307X
Japan Agricultural Research Quarterly;journal;ISSN 00213551
Concepts in Magnetic Resonance Part B: Magnetic Resonance Engineering;journal;ISSN 15525031
Computational and Mathematical Organization Theory;journal;ISSN 1381298X
Journal of Community Practice;journal;ISSN 10705422, 15433706
Advances in Radio Science;journal;ISSN 16849965
Clinical Neuropsychiatry;journal;ISSN 17244935
Cultural Trends;journal;ISSN 09548963, 14693690
Journal of Media Practice;journal;ISSN 14682753
Australian Entomologist;journal;ISSN 13206133
Current Chemical Biology;journal;ISSN 22127968, 18723136
Open Biomedical Engineering Journal;journal;ISSN 18741207
International Journal on Smart Sensing and Intelligent Systems;journal;ISSN 11785608
Journal of the Association of Arab Universities for Basic and Applied Sciences;journal;ISSN 18153852
International Symposium on Empirical Software Engineering and Measurement;conference and proceeding;ISSN 19493770
SIGCSE'12 - Proceedings of the 43rd ACM Technical Symposium on Computer Science Education;conference and proceeding;-
Proceedings - 10th IAPR International Workshop on Document Analysis Systems, DAS 2012;conference and proceeding;-
Proceedings - 12th IEEE International Conference on Data Mining Workshops, ICDMW 2012;conference and proceeding;-
2013 World Haptics Conference, WHC 2013;conference and proceeding;-
Proceedings of the 2013 IEEE Symposium on Computational Intelligence in Scheduling, CISched 2013 - 2013 IEEE Symposium Series on Computational Intelligence, SSCI 2013;conference and proceeding;-
DIVANet 2013 - Proceedings of the 3rd ACM International Symposium on Design and Analysis of Intelligent Vehicular Networks and Applications, Co-located with ACM MSWiM 2013;conference and proceeding;-
Protection of Metals and Physical Chemistry of Surfaces;journal;ISSN 20702051, 2070206X
Progress in Palliative Care;journal;ISSN 09699260
Contemporary Southeast Asia;journal;ISSN 0129797X
Review of Derivatives Research;journal;ISSN 13806645
Central Asian Survey;journal;ISSN 14653354, 02634937
Journal of Macromolecular Science - Pure and Applied Chemistry;journal;ISSN 10601325
Philosophia;journal;ISSN 00483893
Polymer Science - Series A;journal;ISSN 0965545X
International Journal of Critical Infrastructures;journal;ISSN 17418038, 14753219
Russian Journal of Physical Chemistry;journal;ISSN 00360244
Praktische Metallographie/Practical Metallography;journal;ISSN 0032678X
Newborn and Infant Nursing Review;journal;ISSN 15273369
Nursing praxis in New Zealand inc;journal;ISSN 01127438
Clinical Governance;journal;ISSN 14777274
Proceedings of the International Conference on Parallel Processing Workshops;conference and proceeding;ISSN 15302016, 01903918
Journal of Applied Biomedicine;journal;ISSN 12140287, 1214021X
International Journal of Integrated Supply Management;journal;ISSN 14775360, 17418097
Israel Journal of Ecology and Evolution;journal;ISSN 00212210, 15659801
Politics and Policy;journal;ISSN 15555623
Digest Journal of Nanomaterials and Biostructures;journal;ISSN 18423582
Herpetology Notes;journal;ISSN 20715773
Fathering;journal;ISSN 1933026X, 15376680
African Security;journal;ISSN 19392214, 19392206
Theoretical and Empirical Researches in Urban Management;journal;ISSN 20653921, 20653913
Journal de Chirurgie Viscerale;journal;ISSN 1878786X, 18787878
Proceedings International Radar Symposium;conference and proceeding;ISSN 21555753
German Conference on Bioinformatics 2012, GCB 2012;conference and proceeding;-
Arquivos brasileiros de cirurgia digestiva : ABCD = Brazilian archives of digestive surgery;journal;ISSN 23176326, 01026720
Proceedings - 2013 IEEE International Congress on Big Data, BigData 2013;conference and proceeding;-
Journal of Clinical Imaging Science;journal;ISSN 21567514, 21565597
IEEE Transactions on Computational Social Systems;journal;ISSN 2329924X
Toxicology Reports;journal;ISSN 22147500
Harvard Journal on Legislation;journal;ISSN 0017808X
Acta Botanica Croatica;journal;ISSN 03650588
Journal of the History of Medicine and Allied Sciences;journal;ISSN 14684373, 00225045
International Journal of Numerical Modelling: Electronic Networks, Devices and Fields;journal;ISSN 08943370, 10991204
Saudi Medical Journal;journal;ISSN 03795284
PDA Journal of Pharmaceutical Science and Technology;journal;ISSN 10797440
Progress in Pediatric Cardiology;journal;ISSN 10589813
New South Wales public health bulletin;journal;ISSN 10347674
Theory of Probability and its Applications;journal;ISSN 10957219, 0040585X
International Journal of Chemical Reactor Engineering;journal;ISSN 15426580
Russian Physics Journal;journal;ISSN 10648887
Canadian Pharmacists Journal;journal;ISSN 17151635
Plant Protection Science;journal;ISSN 12122580
Innovation: Management, Policy and Practice;journal;ISSN 14479338
International Journal of Computational Intelligence and Applications;journal;ISSN 14690268
Quality - Access to Success;journal;ISSN 15822559
Rock Art Research;journal;ISSN 08130426
Central European Journal of Urology;journal;ISSN 20804806
Environment Systems & Decisions;journal;ISSN 21945403, 21945411
Studies of Transition States and Societies;journal;ISSN 17368758, 1736874X
2013 International Conference on Computing, Networking and Communications, ICNC 2013;conference and proceeding;-
2013 IEEE/ASME International Conference on Advanced Intelligent Mechatronics: Mechatronics for Human Wellbeing, AIM 2013;conference and proceeding;-
Journal of Nonlinear Optical Physics and Materials;journal;ISSN 02188635
Optics and Spectroscopy (English translation of Optika i Spektroskopiya);journal;ISSN 0030400X, 15626911
African Development Review;journal;ISSN 10176772, 14678268
High Temperatures - High Pressures;journal;ISSN 00181544
Bulletin of Experimental Biology and Medicine;journal;ISSN 15738221, 00074888
Bio-Medical Materials and Engineering;journal;ISSN 09592989
Tourism;journal;ISSN 13327461
Caldasia;journal;ISSN 03665232
Journal of Scandinavian Studies in Criminology and Crime Prevention;journal;ISSN 16512340, 14043858
Italian Journal of Food Science;journal;ISSN 11201770
Research in Economics;journal;ISSN 10909443, 10909451
Progress in Chemistry;journal;ISSN 1005281X
Social Science Information;journal;ISSN 05390184
Australian and New Zealand Journal of Statistics;journal;ISSN 1467842X, 13691473
Journal of Indian Association of Pediatric Surgeons;journal;ISSN 09719261
Journal of Family Studies;journal;ISSN 13229400
Prague medical report.;journal;ISSN 12146994
International Journal for Philosophy of Religion;journal;ISSN 00207047
Gayana;journal;ISSN 07176538, 0717652X
Applied Mathematics;journal;ISSN 10051031
Semiotica;journal;ISSN 16133692, 00371998
Management and Organizational History;journal;ISSN 17449359
Ethics in Science and Environmental Politics;journal;ISSN 16118014
IPSJ Transactions on Computer Vision and Applications;journal;ISSN 18826695
International Review of the Red Cross;journal;ISSN 16075889, 18163831
European Journal of Scandinavian Studies;journal;ISSN 21919402, 21919399
KEYS 2012 - Proceedings of the 3rd International Workshop on Keyword Search on Structured Data;conference and proceeding;-
Proceedings for FTfJP 2012: The 14th Workshop on Formal Techniques for Java-Like Programs - Co-located with ECOOP 2012 and PLDI 2012, Papers Presented at the Workshop;conference and proceeding;-
Proceedings of the Annual Conference of the International Speech Communication Association, INTERSPEECH;conference and proceeding;ISSN 19909772, 2308457X
2012 International Symposium on Network Coding, NetCod 2012;conference and proceeding;-
Subterranean Biology;journal;ISSN 17681448
Proceedings of the ACM SIGKDD 2013 Workshop on Interactive Data Exploration and Analytics, IDEA 2013;conference and proceeding;-
Rivista di Studi sulla Sostenibilita;journal;ISSN 22391959, 22397221
Proceedings of the 2013 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, ASONAM 2013;conference and proceeding;-
ICMR 2014 - Proceedings of the ACM International Conference on Multimedia Retrieval 2014;conference and proceeding;-
2014 IEEE World Forum on Internet of Things, WF-IoT 2014;conference and proceeding;-
